pickup_hub,orders
Banani,2900
Farmgate,2858
Bashundhara,2427
Mohammadpur,1826
Mirpur-1,1816
Malibagh,1807
Pallabi,1786
Shewrapara,1780
Diabari,1730
Chittagong-Halishahar,1684
Bashabo,1663
Chittagong-Nasirabad,1561
Badda,1551
Lalbag,1378
Uttara,1325
Chittagong-Bayezid,1124
Motijheel,976
Rayerbag,803
Savar,677
Narayanganj,676
Sylhet,573
Demra,530
Siddhirganj,528
Rajshahi,507
Bogra,440
Savar-Baipail,435
Gazipur-Board Bazar,434
Gazipur-Joydebpur,394
Mymensingh,385
Khulna,362
Savar-Ashuliya,311
Kamrangirchar,306
Rangpur,266
Jashore,265
Sylhet-Jalalabad,241
Gazipur- Kashimpur,231
Cumilla,224
Barishal,221
Rajbari,220
Gazipur-Kaliyakoir,214
Faridpur,212
Gazipur-Tongi,206
Keranigonj,191
Munsiganj,186
Dinajpur,181
Chittagong-Hathazari,173
Feni,172
Bandar,171
Tangail,162
Munshiganj-Sreenagar,159
Bandarban,155
Shariatpur,145
Pabna,132
Tangail - Mirzapur,127
Dohar Nowabganj,125
Mymensingh-Bhaluka,123
Chittagong-Rangunia,120
Savar - Amin Bazar,117
Sonargaon,115
Sirajganj,110
Munshiganj-Tongibari,109
Bhulta - Gawsia,108
Kishoreganj,104
Tangail-Madhupur,104
Satkhira,98
Sylhet-South Surma,98
Jhenidah,97
Khulna-Daulatpur,96
Rangamati,96
Kushtia,95
Cumilla-Daudkandi,94
Gaibandha,92
Khagrachori-Guimara,90
Chandpur,89
Gopalganj,89
B.Baria-Nabinagar,85
Keraniganj-Atibazar,82
Naogaon,82
Mawna,81
Jamalpur,80
Chittagong-Shitakundo,79
Chittagong-Anwara,77
Satkhira-Shyamnagar,76
Bagerhat,75
Sylhet-Zakiganj,75
Cox's Bazar-Ramu,74
Khagrachari,74
Manikganj-Ghior,73
Bogra-Majhira,72
Kishoreganj-Bhairab,68
Rupganj - Neela Market,67
Chittagong-Fatikchori,66
Gazipur-Kapasia,66
Moulvibazar,62
Bhola,62
Cumilla-Laksam,61
Chittagong-Raozan,61
Noakhali-Sonapur,61
Saidpur,60
Savar-Dhamrai,60
Cox's Bazar,59
Comilla-Barura,58
Noakhali-Senbagh,58
Sylhet-Kanaighat,58
Chittagong-Potenga,57
Netrokona-Mohanganj,57
Chittagong-Kathgor,56
Noakhali,56
Mymensingh-Gafargaon,54
Narsingdi,53
Chandpur-Shahrasti,52
B.Baria,52
Chittagong-Mirshorai,51
Cumilla - B.para,49
Narsingdi-Raipura,49
Lakshmipur,49
Manikganj,49
Gazipur-Kaliganj,48
Thakurgaon,48
Cumilla-Muradnagar,48
Mymensingh-Trishal,48
Khagrachori-Matiranga,47
Kushtia-Bheramara,47
Chandpur-Haziganj,47
Meherpur,47
Magura,47
Sylhet-Osmaninagar,46
Jhenaidha-Kotchadpur,46
Chuadanga,45
Bhanga,45
Thakurgaon-Ranisankail,45
Sylhet-Golapganj,45
Khulna-Rupsha,44
Natore,44
Madaripur,44
Cox's Bazar-Ukhia,43
Joypurhat,43
Chandpur Kachua,42
Sherpur,41
Netrokona,41
Jamalpur-Dewanganj-Bakshiganj,41
Jashore-Noapara,40
Chittagong-Potiya,40
Jashore-Benapol,39
Faridpur-Madhukhali,38
Moulvibazar-Barlekha,38
Sunamganj-Chhatak,38
Sunamganj,37
B.baria-Bancharampur,37
Natore-Bonpara,37
Shariatpur-Damudya,37
Chapainawabganj,37
Chittagong-Sandwip,36
Narsingdi-Pachdona,36
Lalmonirhat,36
Kurigram,36
Bagerhat-Fakirhat,35
Ullapara-Tarash,35
Habiganj,34
Nilphamari,34
Jhalokathi,34
Pabna-Ishwardi,34
Tangail-Kalihati,33
Gopalganj-Kashiani,33
Khagrachori-Dighinala,33
Pabna-Bhangura,32
Barishal-Wazirpur,31
Barishal-Gouranodi,31
Noakhali-Sonaimuri,30
Dinajpur-Birampur,29
Bogra-Sariyakandi,29
Chittagong-Keranirhat,29
Cumilla-Chauddagram,28
Sirajganj-Belkuchi,28
Tangail Nagarpur,28
B.Baria-Bijaynagar,27
Coxsbazar-Moheshkhali,27
Cumilla-Chandina,27
Shahjadpur-Bera,27
Chandpur-Uttar Matlab,26
Kurigram-Nageshwari,26
Moulovibazar-Kulaura,26
Noakhali-Bashurhat,25
Chuadanga-Darshana,25
Moulvibazar-Sreemangal,25
B.baria-Nasirnagar,24
Bhola-Lalmohon,24
Chittagong-Bashkhali,24
Kishoreganj-Bajitpur,24
Narail-Laxmipasha,23
Habiganj-Shaistaganj,23
Barguna,23
Mokamtola,23
Rajbari-Pangsha,23
Dinajpur-Parbatipur,22
B.Baria-Kasba,22
Manikganj-Singair,22
Bagerhat-Morrelganj,21
Char-Alexzander,21
Panchagarh,21
Gazaria,21
Habiganj-Madhobpur,21
Rangpur-Pirgonj,20
Mymensingh-Ishwarganj,20
Khulna-Dumuria,20
Naogaon-Nazipur,20
Patuakhali-Kalapara,20
Chandpur-Faridgonj,20
Patuakhali,19
Kishoreganj-Pakundia,19
Pabna-Sujanagar,19
Cumilla Nangolkot,18
Mymensingh Muktagacha,18
Kushtia-Kumarkhali,17
Feni-Chhagalnaiya,17
Tangail-Shakhipur,17
Patuakhali-Bauphal,17
Moulvibazar-Rajnagar,16
Lalmonirhat-Patgram,16
Jashore-Monirampur,16
Barishal-Banaripara,16
Sunamganj-Derai,16
Mymensingh-Dhobaura,16
Narsingdi- Monohardi,16
Faridpur-Boalmari,15
Bagerhat-Mongla,15
Feni-Sonagazi,15
Cox's Bazar-Chokoria,14
Rajshahi-Baneshwar,14
Natore-Singra,14
Barishal-Bakergonj,14
Rangpur-Badarganj,14
Araihazar-Narayanganj,14
Phulpur,13
Sunamganj-Bishwabvarpur,13
Patuakhali-Galachipa,13
Cumilla-Debidwer,13
Sylhet-Jaintapur,13
Narail,13
Sylhet-Jagannathpur,12
Lakshmipur-Raipur,12
Bhola-Borhanuddin,12
Sherpur-Nalitabari,12
Lakshmipur-Ramgonj,11
Gaibandha-Gobindaganj,11
Madaripur-Takerhat,11
Pirojpur,11
Sylhet-Beanibazar,11
Nilphamari-Domar,10
Bhola-Charfashion,10
Barishal-Muladi,10
Netrokona-Durgapur,10
Barguna-Patharghata,10
Cumilla-Homna,9
Rajshahi-Mohonpur,9
