delivery_hub_name,processed_order_count
Farmgate,1752
Bashundhara,1468
Mohammadpur,1242
Banani,1237
Pallabi,1235
Malibagh,1137
Uttara,1057
Shewrapara,947
Mirpur-1,909
Bashabo,906
Motijheel,897
Chittagong-Halishahar,861
Lalbag,852
Diabari,849
Badda,833
Chittagong-Nasirabad,748
Rajshahi,653
Cumilla,649
Rayerbag,609
Sylhet,569
Khulna,562
Mymensingh,531
Savar,511
Barishal,507
Chittagong-Bayezid,504
Rangpur,494
Bogra,447
Demra,446
Narayanganj,442
Gazipur-Board Bazar,437
Satkhira,402
Siddhirganj,384
Chittagong-Bahaddarhat,348
Gazipur-Joydebpur,329
Chandpur?,316
Cumilla?,275
Kamrangirchar,267
Savar-Baipail,262
Faridpur,258
Bandar,255
Dinajpur,247
Bhola?,232
Savar-Ashuliya,232
Sylhet-Jalalabad,228
Narsingdi?,225
Chandpur?,222
Sirajganj?,221
Jamalpur,218
B.Baria,210
Gazipur- Kashimpur,209
B.Baria?,208
Netrokona?,208
Jhenidah,204
Shariatpur,204
Lakshmipur?,204
Noakhali-Sonapur,202
Narsingdi?,200
Pirojpur?,190
Chandpur,189
Naogaon,189
Pabna,184
Munshiganj-Sreenagar,176
Satkhira,174
Khulna-Daulatpur,173
Madaripur,172
Sirajganj,168
Bhola,164
Noakhali-Sonaimuri,163
Gazipur-Kaliyakoir,161
Cumilla-Daudkandi,160
Gazipur-Tongi,158
Shariatpur?,155
Rajbari?,154
Patuakhali,150
Chittagong-Potenga,149
Narsingdi-Pachdona,149
Rajbari,147
B.Baria-Akhaura,145
Gaibandha,145
Munshiganj?,144
Sylhet?,140
Bagerhat,139
Munsiganj,138
Tangail-Madhupur,137
Chittagong-Kathgor,136
Cumilla-Laksam,135
Shariatpur-Damudya,133
Bhanga,132
Narsingdi?,130
Pirojpur?,129
Bogra-Majhira,125
Panchagarh,113
Joypurhat,113
Kishoreganj?,113
Keraniganj-Atibazar,113
Pabna?,111
Netrokona,111
Shahjadpur-Bera,110
Kishoreganj?,108
Bandar,108
Chittagong-Raozan,107
Chandpur-Faridgonj,107
Pabna-Ishwardi,106
Sylhet-South Surma,106
Gazipur-Kapasia,102
Moulvibazar?,101
Brahmanbaria?,100
Araihazar?,98
Saidpur,98
Chittagong-Shitakundo,98
Narsingdi?,97
Khulna-Rupsha,97
Chittagong-Potiya,94
Moulvibazar?,94
Kurigram,93
Cumilla-Muradnagar,92
Chandpur-Haziganj,91
Sherpur,90
Barguna,90
Lakshmipur?,90
Kishoreganj?,90
Jashore?,89
Comilla-Barura,89
Manikganj-Ghior,89
Kurigram?,88
Dinajpur-Birampur,88
Thakurgaon,87
Manikganj?,87
Mymensingh-Bhaluka,87
Chittagong-Anwara,87
Chandpur?,86
Faridpur?,86
Mymensingh?,86
Habiganj-Madhobpur,86
Lalmonirhat,84
Chittagong-Keranirhat,84
Faridpur-Boalmari,84
Natore?,83
Munshiganj-Tongibari,83
Tangail-Kalihati,83
Cumilla - B.para,83
Nilphamari,82
Sunamganj,79
Brahmanbaria?,78
Habiganj-Shaistaganj,78
B.Baria?,77
Narsingdi-Raipura,77
Chapainawabganj,76
Bhola-Charfashion,76
Natore-Bonpara,76
Savar - Amin Bazar,76
Sirajganj-Belkuchi,76
Natore,75
Jhenaidah?,73
Cumilla-Chandina,73
Naogaon-Nazipur,72
Bhola-Lalmohon,72
Chittagong-Sandwip,71
Feni-Sonagazi,71
Chittagong-Rangunia,70
Manikganj-Singair,70
Chandpur-Shahrasti,70
Panchagarh,69
Rajshahi-Baneshwar,69
Satkhira-Shyamnagar,69
Patuakhali-Bauphal,69
Brahmanbaria?,68
Chandpur-Uttar Matlab,68
Ullapara-Tarash,67
Lalmonirhat?,66
Madaripur?,66
Barishal-Wazirpur,66
Rajbari-Pangsha,66
Cumilla-Debidwer,66
Barishal-Bakergonj,64
Feni?,64
Habiganj?,64
Chandpur Kachua,63
Jhenaidha-Kotchadpur,62
Gopalganj?,62
Brahmanbaria?,61
Noakhali?,61
Moulvibazar-Sreemangal,61
Chuadanga-Darshana,61
B.baria-Bancharampur,61
Gazipur-Kaliganj,60
Mymensingh-Trishal,60
Jashore-Monirampur,60
Noakhali-Senbagh,60
Gaibandha-Gobindaganj,59
Madaripur-Takerhat,59
Pirojpur-Bhandaria,59
Pirojpur-Mathbaria,58
Mymensingh-Ishwarganj,56
Lakshmipur-Raipur,56
Nilphamari-Domar,55
Araihazar-Narayanganj,55
Narail-Laxmipasha,55
Tangail Nagarpur,54
Gopalganj-Kashiani,54
