pickup_hub_name,processed_order_count
Banani,2767
Farmgate,2756
Bashundhara,2311
Malibagh,1767
Mohammadpur,1726
Mirpur-1,1723
Shewrapara,1696
Pallabi,1695
Diabari,1666
Chittagong-Halishahar,1598
Bashabo,1595
Chittagong-Nasirabad,1481
Badda,1474
Lalbag,1324
Uttara,1256
Chittagong-Bayezid,1068
Motijheel,939
Rayerbag,780
Narayanganj,645
Savar,640
Sylhet,552
Demra,503
Siddhirganj,503
Rajshahi,486
Savar-Baipail,414
Bogra,407
Gazipur-Board Bazar,406
Gazipur-Joydebpur,380
Mymensingh,372
Khulna,345
Savar-Ashuliya,301
Kamrangirchar,294
Satkhira,256
Rangpur,250
Sylhet-Jalalabad,228
Gazipur- Kashimpur,225
Cumilla,214
Faridpur,211
Rajbari,204
Gazipur-Tongi,204
Gazipur-Kaliyakoir,203
Barishal,202
Bandar,185
Munsiganj,179
Dinajpur,172
Chandpur?,168
Bandar,165
Narsingdi?,164
Cumilla?,157
Munshiganj-Sreenagar,149
Chandpur?,144
Shariatpur,135
Pabna,122
Lakshmipur?,119
Mymensingh-Bhaluka,118
Kishoreganj?,116
Narsingdi?,112
Savar - Amin Bazar,107
Chittagong-Rangunia,107
Sirajganj,104
Sylhet?,103
Munshiganj-Tongibari,103
Tangail-Madhupur,102
Chandpur?,99
Sylhet-South Surma,93
Khulna-Daulatpur,92
Jhenidah,90
B.Baria?,90
Gaibandha,89
Khagrachori-Guimara,89
Cumilla-Daudkandi,88
Satkhira,87
Chandpur,86
Pirojpur?,85
Netrokona?,83
Lakshmipur?,81
Keraniganj-Atibazar,80
Jamalpur,78
Narsingdi?,77
Chittagong-Shitakundo,77
Naogaon,76
Satkhira-Shyamnagar,74
Chittagong-Anwara,74
Bagerhat,68
Bogra-Majhira,68
Brahmanbaria?,68
Manikganj-Ghior,68
Sylhet-Zakiganj,68
Habiganj?,66
Faridpur?,64
Gazipur-Kapasia,64
Sirajganj?,63
Manikganj?,62
Noakhali-Sonapur,60
Kurigram?,59
Moulvibazar?,59
Sirajganj?,58
Bhola,58
Cumilla-Laksam,58
Chittagong-Raozan,58
Netrokona-Mohanganj,56
Comilla-Barura,56
Sylhet-Kanaighat,55
Mymensingh-Gafargaon,54
Shariatpur?,53
Saidpur,53
Noakhali-Senbagh,53
Chittagong-Kathgor,53
B.Baria,52
Chittagong-Potenga,51
Chandpur-Shahrasti,51
Bhola?,50
Thakurgaon,48
Mymensingh?,48
Narsingdi-Raipura,48
Gazipur-Kaliganj,47
Khagrachori-Matiranga,47
Rajbari?,46
B.Baria-Akhaura,45
Narsingdi?,45
Jhenaidha-Kotchadpur,45
Mymensingh-Trishal,45
Cumilla - B.para,45
Sylhet-Osmaninagar,45
Munshiganj?,44
Madaripur,44
Cumilla-Muradnagar,43
Thakurgaon-Ranisankail,43
Natore?,42
Natore,42
Bhanga,42
Jashore?,42
Khulna-Rupsha,42
Sylhet-Golapganj,41
Chandpur Kachua,41
Panchagarh,40
Jamalpur-Dewanganj-Bakshiganj,40
Netrokona,39
Joypurhat,39
Chandpur-Haziganj,39
Chittagong-Potiya,39
Sherpur,38
Sunamganj,37
Moulvibazar?,37
Sunamganj-Chhatak,37
B.baria-Bancharampur,37
Moulvibazar-Barlekha,37
Manikganj?,35
Shariatpur-Damudya,35
Faridpur-Madhukhali,35
Araihazar?,34
Kurigram,34
Lalmonirhat,34
Ullapara-Tarash,34
Natore-Bonpara,34
Bagerhat-Fakirhat,34
Narsingdi-Pachdona,34
Pabna?,33
Chapainawabganj,33
Pabna-Ishwardi,33
Tangail-Kalihati,33
Nilphamari,32
Chittagong-Sandwip,32
Gopalganj-Kashiani,31
Brahmanbaria?,30
Noakhali-Sonaimuri,29
Kishoreganj?,29
Pabna-Bhangura,29
Dinajpur-Birampur,28
Brahmanbaria?,28
Barishal-Wazirpur,28
Tangail Nagarpur,28
Bogra-Sariyakandi,28
Shahjadpur-Bera,27
Cumilla-Chandina,27
Sirajganj-Belkuchi,27
Brahmanbaria?,26
Habiganj?,26
Kurigram-Nageshwari,26
Kishoreganj?,25
Chittagong-Keranirhat,25
Moulvibazar-Sreemangal,25
Chandpur-Uttar Matlab,25
Tangail?,24
Chittagong-Bashkhali,24
Bhola-Lalmohon,24
Chuadanga-Darshana,24
B.baria-Nasirnagar,24
Barguna,23
Pirojpur?,23
Rajbari-Pangsha,23
Narail-Laxmipasha,23
Dinajpur-Parbatipur,22
Noakhali?,21
Mokamtola,21
Bagerhat-Morrelganj,21
Habiganj-Shaistaganj,21
Manikganj-Singair,21
Feni?,20
Panchagarh,19
