Merchant ID,Merchant Name,Phone,KAM ID,KAM Name
209286,Daraz Bangladesh Limited,01711111100,13507,Ahnaf Tahmid Raad
147238,Ranks Petroleum Limited_BD,01730085007,13507,Ahnaf Tahmid Raad
77290,Startech & Engineering Ltd,01313717006,13507,Ahnaf Tahmid Raad
59693,Nagad,01704161133,13507,Ahnaf Tahmid Raad
374756,Cartup (Closed Box),01335088328,13507,Ahnaf Tahmid Raad
302566,Daraz Bangladesh Limited (CP),01911111100,13507,Ahnaf Tahmid Raad
384721,Redx Open Box,01676914776,13507,Ahnaf Tahmid Raad
234316,Cartup,01335088333,13507,Ahnaf Tahmid Raad
6798,Vapor World,01823211114,13507,Ahnaf Tahmid Raad
384722,Redx Closed Box,01313718045,13507,Ahnaf Tahmid Raad
119653,Arogga LTD,01332537443,13507,Ahnaf Tahmid Raad
