Merchant ID,Merchant Name,Merchant Type,Pickup Hub(s),Total Slabs,Flagged Count,Flagged Details (JSON)
5,N/A,Regular,N/A,12,12,"[{""zone"": ""ISD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""ISD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""ISD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""RSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 120.0, ""discount"": 20, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 180.0, ""discount"": 30, ""final_rate"": 150.0, ""threshold"": 85}]"
6,N/A,Regular,N/A,12,12,"[{""zone"": ""ISD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""ISD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""ISD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""RSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 120.0, ""discount"": 20, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 180.0, ""discount"": 30, ""final_rate"": 150.0, ""threshold"": 85}]"
7,Aamra Networks Limited ,Regular,Banani(ISD),14,11,"[{""zone"": ""ISD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""ISD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""RSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 120.0, ""discount"": 20, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 180.0, ""discount"": 30, ""final_rate"": 150.0, ""threshold"": 85}]"
8,N/A,Regular,N/A,12,12,"[{""zone"": ""ISD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""ISD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""ISD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""RSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 120.0, ""discount"": 20, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 180.0, ""discount"": 30, ""final_rate"": 150.0, ""threshold"": 85}]"
9,N/A,Regular,N/A,12,12,"[{""zone"": ""ISD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""ISD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""ISD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""RSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 120.0, ""discount"": 20, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 180.0, ""discount"": 30, ""final_rate"": 150.0, ""threshold"": 85}]"
10,N/A,Regular,N/A,12,12,"[{""zone"": ""ISD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""ISD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""ISD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""RSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 120.0, ""discount"": 20, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 180.0, ""discount"": 30, ""final_rate"": 150.0, ""threshold"": 85}]"
12,N/A,Regular,N/A,12,12,"[{""zone"": ""ISD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""ISD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""ISD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""RSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 120.0, ""discount"": 20, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 180.0, ""discount"": 30, ""final_rate"": 150.0, ""threshold"": 85}]"
13,N/A,Regular,N/A,12,12,"[{""zone"": ""ISD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""ISD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""ISD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""RSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 120.0, ""discount"": 20, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 180.0, ""discount"": 30, ""final_rate"": 150.0, ""threshold"": 85}]"
15,N/A,Regular,N/A,12,12,"[{""zone"": ""ISD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""ISD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""ISD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""RSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 120.0, ""discount"": 20, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 180.0, ""discount"": 30, ""final_rate"": 150.0, ""threshold"": 85}]"
16,N/A,Regular,N/A,12,12,"[{""zone"": ""ISD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""ISD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""ISD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 130.0, ""discount"": 10, ""final_rate"": 120.0, ""threshold"": 65}, {""zone"": ""RSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""RSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-ISD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""0-200"", ""base_cost"": 110.0, ""discount"": 10, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-RSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 170.0, ""discount"": 20, ""final_rate"": 150.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""0-200"", ""base_cost"": 120.0, ""discount"": 20, ""final_rate"": 100.0, ""threshold"": 85}, {""zone"": ""OSD-OSD"", ""weight_g"": ""1000-1500"", ""base_cost"": 180.0, ""discount"": 30, ""final_rate"": 150.0, ""threshold"": 85}]"
