Merchant ID,Merchant Name,Merchant Type,Pickup Hub(s)
5,PREMIER BANK (BANGLABAZAR),Regular,N/A
6,Market Pulse(Lanka Bangla Limited),Regular,N/A
7,Aamra Networks Limited ,Regular,Banani (ISD Hub)
8,SouthEast Bank Limited,Regular,N/A
9,Mercantile Bank ltd. (Rampura Branch),Regular,N/A
10,PREMIER BANK (NEW MARKET),Regular,N/A
12,Rakeen Development Limited(CS),Regular,N/A
13,TIC Manufacturing (Bangladesh) Limited,Regular,N/A
15,NZDP,Regular,N/A
16,Sainsbury's Argos Asia Limited,Regular,N/A
17,FSIBL BONOSREE,Regular,N/A
18,South East Bank (Basundhara Branch),Regular,Malibagh (ISD Hub); Shewrapara (ISD Hub)
19,Shopnobari.com,Regular,N/A
20,Nayeem's Vebture,Regular,Mirpur-1 (ISD Hub)
21,SHAMIR CARPETS,Regular,Motijheel (ISD Hub)
22,Sayma fashion world,Regular,N/A
25,Kns Style Zone,Regular,N/A
26,Ayman's Baby Shop,Regular,N/A
27,Nahidul Hasan_March 05,Regular,N/A
29,IDCOL,Regular,Farmgate (ISD Hub)
44,INFOSYS,Regular,Farmgate (ISD Hub)
73,BD Arabian Shop,Regular,Mohammadpur (ISD Hub)
86,clasic fashion,Regular,Chittagong-Nasirabad (OSD Hub); Farmgate (ISD Hub); Mirpur-1 (ISD Hub)
93,Stylika by Saima,Regular,N/A
96,Velvet,Regular,N/A
98,Dress Pair,Regular,N/A
104,Life Online Shop BD,Regular,Keranigonj (RSD Hub)
118,Blushing Noir ,Regular,N/A
124,Kids fashion bd,Regular,Malibagh (ISD Hub)
126,Girlz Corner,Regular,N/A
130,Bismillah Marine Store,Regular,Chittagong-Halishahar (OSD Hub)
134,Ovto Limited,Regular,Bashundhara (ISD Hub)
135,Ripasha Onlline Market,Regular,N/A
136,Nilim Shahan Imported Fashion zone ,Regular,N/A
139,Noor Fashion House,Regular,N/A
140,Online Shop,Regular,N/A
142,Niloy's glamour,Regular,Bashabo (ISD Hub)
144,SkinFuel,Regular,N/A
148,Biponee BD,Regular,N/A
151,Adiyat Fashion,Regular,N/A
159,GIFT CORNER,Regular,Diabari (ISD Hub)
167,Fahad Salim,Regular,Bashundhara (ISD Hub)
173,CoverLand - Adabor,Regular,N/A
175,STAY WITH STYLE,Regular,N/A
185,Ayesha beauty zone,Regular,N/A
188,Ayshbeauty zone,Regular,N/A
192,C company,Regular,N/A
196,New Shonartori Jewellers,Regular,N/A
203,J S S International,Regular,N/A
209,Modest Lifestyle,Regular,Bashabo (ISD Hub)
210,Aveiroe,Regular,N/A
230,joyabazar.com,Regular,Bashabo (ISD Hub)
232,Kajur Poshra,Regular,N/A
242,Shopping BD Home,Regular,Lalbag (ISD Hub); Pallabi (ISD Hub); Shewrapara (ISD Hub)
243,LadyFest.com,Regular,N/A
246,Rico Holdings,Regular,N/A
254,Bengol Mart,Regular,Malibagh (ISD Hub)
255,Angelic Kids & Varieties Zone,Regular,N/A
264,Choose & Take,Regular,Mirpur-1 (ISD Hub); Motijheel (ISD Hub)
268,Custom Mac BD,Regular,Banani (ISD Hub); Farmgate (ISD Hub); Bashundhara (ISD Hub)
273,Googlybd,Regular,Pallabi (ISD Hub)
274,Patabahar,Regular,N/A
290,JEWELRY007,Regular,N/A
292,Labonnomoy,Regular,N/A
295,Gadget Freak,Regular,N/A
297,Troika,Regular,N/A
298,Courier BD,Regular,N/A
300,Neha Collection,Regular,N/A
321,zero,Regular,N/A
322,CityShop,Regular,Diabari (ISD Hub)
328,Tailor House,Regular,Pallabi (ISD Hub)
329,Hijabi Neesa,Regular,N/A
333,Apshora & The al rahabar,Regular,N/A
337,Bazarbd,Regular,N/A
341,Fashion Book,Regular,N/A
342,Glam Queen,Regular,Mohammadpur (ISD Hub)
344,Charming,Regular,Motijheel (ISD Hub)
349,Neelkomol,Regular,N/A
352,Leio Fashion BD,Regular,N/A
354,_____,Regular,N/A
356,Liyah,Regular,N/A
359,Jeharoo,Regular,N/A
