delivery_hub,orders
Farmgate,1838
Bashundhara,1531
Pallabi,1301
Mohammadpur,1299
Banani,1290
Malibagh,1199
Uttara,1099
Shewrapara,992
Mirpur-1,956
Motijheel,948
Bashabo,947
Chittagong-Halishahar,915
Lalbag,897
Diabari,893
Badda,879
Chittagong-Nasirabad,803
Rajshahi,693
Cumilla,682
Rayerbag,631
Sylhet,593
Khulna,591
Mymensingh,557
Chittagong-Bayezid,535
Barishal,527
Savar,527
Rangpur,518
Bogra,472
Demra,466
Narayanganj,466
Gazipur-Board Bazar,461
Jashore,425
Siddhirganj,400
Gazipur-Joydebpur,353
Chittagong-Bahaddarhat,351
Feni,326
Tangail,290
Faridpur,279
Kamrangirchar,278
Savar-Baipail,273
Keranigonj,263
Dinajpur,263
Sylhet-Jalalabad,244
Savar-Ashuliya,243
B.Baria,239
Cox's Bazar,237
Jamalpur,231
Kishoreganj,231
Mawna,229
Kushtia,220
Gazipur- Kashimpur,219
Narsingdi,216
Gopalganj,215
Jhenidah,213
Chittagong-Hathazari,210
Noakhali-Sonapur,210
Shariatpur,210
Dohar Nowabganj,209
Chandpur,199
Naogaon,198
Pabna,197
Rangamati,197
Munshiganj-Sreenagar,187
Madaripur,186
Khulna-Daulatpur,186
Satkhira,184
Sirajganj,176
Cumilla-Daudkandi,174
Gazipur-Kaliyakoir,169
Noakhali-Sonaimuri,168
Bhola,168
Gazipur-Tongi,168
Lakshmipur,165
Chittagong-Potenga,163
Narsingdi-Pachdona,161
Noakhali,160
Patuakhali,157
Manikganj,152
Magura,151
Rajbari,151
Gaibandha,149
Bagerhat,148
Tangail-Madhupur,148
Bhulta - Gawsia,147
Munsiganj,146
Cumilla-Laksam,144
Chittagong-Kathgor,142
Shariatpur-Damudya,142
Bhanga,137
Sonargaon,135
Bogra-Majhira,135
Kishoreganj-Bajitpur,133
Keraniganj-Atibazar,124
Habiganj,118
Netrokona,117
Joypurhat,117
Chuadanga,117
Tangail - Mirzapur,116
Chittagong-Raozan,114
Shahjadpur-Bera,113
Chandpur-Faridgonj,113
Bandar,113
Pabna-Ishwardi,111
Noakhali-Bashurhat,110
