pickup_hub,orders
Banani,2900
Farmgate,2858
Bashundhara,2427
Mohammadpur,1826
Mirpur-1,1816
Malibagh,1808
Pallabi,1786
Shewrapara,1780
Diabari,1732
Chittagong-Halishahar,1684
Bashabo,1663
Chittagong-Nasirabad,1561
Badda,1551
Lalbag,1377
Uttara,1325
Chittagong-Bayezid,1124
Motijheel,976
Rayerbag,803
Savar,677
Narayanganj,676
Sylhet,573
Demra,530
Siddhirganj,528
Rajshahi,507
Bogra,440
Savar-Baipail,435
Gazipur-Board Bazar,434
Gazipur-Joydebpur,394
Mymensingh,385
Khulna,363
Savar-Ashuliya,313
Kamrangirchar,306
Rangpur,267
Jashore,265
Sylhet-Jalalabad,241
Gazipur- Kashimpur,232
Cumilla,224
Rajbari,221
Barishal,221
Gazipur-Kaliyakoir,214
Faridpur,212
Gazipur-Tongi,206
Keranigonj,192
Munsiganj,187
Dinajpur,181
Chittagong-Hathazari,173
Feni,172
Bandar,171
Tangail,163
Munshiganj-Sreenagar,159
Bandarban,155
Shariatpur,145
Pabna,132
Tangail - Mirzapur,127
Dohar Nowabganj,125
Mymensingh-Bhaluka,123
Chittagong-Rangunia,120
Savar - Amin Bazar,117
Sonargaon,115
Sirajganj,110
Munshiganj-Tongibari,109
Bhulta - Gawsia,108
Kishoreganj,107
Tangail-Madhupur,104
Sylhet-South Surma,98
Satkhira,98
Jhenidah,97
Khulna-Daulatpur,96
Kushtia,96
Rangamati,96
Cumilla-Daudkandi,94
Gaibandha,92
B.Baria-Nabinagar,90
Khagrachori-Guimara,90
Chandpur,89
Gopalganj,89
Naogaon,84
Keraniganj-Atibazar,82
Jamalpur,81
Mawna,81
Chittagong-Shitakundo,80
Khagrachari,79
Chittagong-Anwara,77
Satkhira-Shyamnagar,76
Sylhet-Zakiganj,75
Bagerhat,75
Cox's Bazar-Ramu,74
Manikganj-Ghior,73
Bogra-Majhira,72
Kishoreganj-Bhairab,68
Rupganj - Neela Market,67
Chittagong-Fatikchori,66
Gazipur-Kapasia,66
Moulvibazar,63
Bhola,62
Chittagong-Raozan,61
Noakhali-Sonapur,61
Cumilla-Laksam,61
Saidpur,60
Savar-Dhamrai,60
Cox's Bazar,59
Comilla-Barura,58
Sylhet-Kanaighat,58
Noakhali-Senbagh,58
Chittagong-Potenga,57
Netrokona-Mohanganj,57
Chittagong-Kathgor,56
Noakhali,56
Mymensingh-Gafargaon,54
Narsingdi,53
Chandpur-Shahrasti,52
B.Baria,52
Chittagong-Mirshorai,51
Thakurgaon,49
Narsingdi-Raipura,49
Cumilla - B.para,49
Manikganj,49
Lakshmipur,49
Mymensingh-Trishal,48
Cumilla-Muradnagar,48
Sylhet-Osmaninagar,48
Gazipur-Kaliganj,48
Magura,47
Meherpur,47
Kushtia-Bheramara,47
Khagrachori-Matiranga,47
Chandpur-Haziganj,47
Jhenaidha-Kotchadpur,46
Thakurgaon-Ranisankail,45
Bhanga,45
Sylhet-Golapganj,45
Chuadanga,45
Madaripur,44
Natore,44
Khulna-Rupsha,44
Cox's Bazar-Ukhia,43
Joypurhat,43
Netrokona,42
Chandpur Kachua,42
Sherpur,41
Jamalpur-Dewanganj-Bakshiganj,41
Chittagong-Potiya,40
Jashore-Noapara,40
Jashore-Benapol,39
Moulvibazar-Barlekha,38
Faridpur-Madhukhali,38
Sunamganj-Chhatak,38
Sunamganj,37
Natore-Bonpara,37
Chapainawabganj,37
Shariatpur-Damudya,37
B.baria-Bancharampur,37
Narsingdi-Pachdona,36
Habiganj,36
Kurigram,36
Chittagong-Sandwip,36
Lalmonirhat,36
Jhalokathi,35
Bagerhat-Fakirhat,35
Ullapara-Tarash,35
Pabna-Ishwardi,34
Nilphamari,34
Gopalganj-Kashiani,33
Tangail-Kalihati,33
Khagrachori-Dighinala,33
Pabna-Bhangura,32
Barishal-Wazirpur,31
Barishal-Gouranodi,31
Dinajpur-Birampur,30
Noakhali-Sonaimuri,30
Cumilla-Chauddagram,30
Bogra-Sariyakandi,30
Chittagong-Keranirhat,29
Sirajganj-Belkuchi,28
Tangail Nagarpur,28
Shahjadpur-Bera,27
Coxsbazar-Moheshkhali,27
B.Baria-Bijaynagar,27
Cumilla-Chandina,27
Moulovibazar-Kulaura,26
Chandpur-Uttar Matlab,26
Kurigram-Nageshwari,26
Chuadanga-Darshana,26
Bhola-Lalmohon,25
Moulvibazar-Sreemangal,25
Noakhali-Bashurhat,25
Chittagong-Bashkhali,24
Kishoreganj-Bajitpur,24
B.baria-Nasirnagar,24
Habiganj-Shaistaganj,23
Narail-Laxmipasha,23
Barguna,23
Mokamtola,23
Rajbari-Pangsha,23
Dinajpur-Parbatipur,22
B.Baria-Kasba,22
Char-Alexzander,22
Manikganj-Singair,22
Gazaria,21
Panchagarh,21
Habiganj-Madhobpur,21
Bagerhat-Morrelganj,21
Rangpur-Pirgonj,21
Patuakhali-Kalapara,20
Mymensingh-Ishwarganj,20
Chandpur-Faridgonj,20
Naogaon-Nazipur,20
Khulna-Dumuria,20
Cumilla Nangolkot,20
Pabna-Sujanagar,19
Kishoreganj-Pakundia,19
Patuakhali,19
Kushtia-Kumarkhali,18
Mymensingh Muktagacha,18
Tangail-Shakhipur,17
Feni-Chhagalnaiya,17
Patuakhali-Bauphal,17
Narsingdi- Monohardi,16
Barishal-Banaripara,16
Lalmonirhat-Patgram,16
Sunamganj-Derai,16
Moulvibazar-Rajnagar,16
Mymensingh-Dhobaura,16
Jashore-Monirampur,16
Faridpur-Boalmari,15
Feni-Sonagazi,15
Bagerhat-Mongla,15
Rajshahi-Baneshwar,14
Araihazar-Narayanganj,14
Natore-Singra,14
Cox's Bazar-Chokoria,14
Barishal-Bakergonj,14
Rangpur-Badarganj,14
Cumilla-Debidwer,13
Narail,13
Sunamganj-Bishwabvarpur,13
Phulpur,13
Patuakhali-Galachipa,13
Sylhet-Jaintapur,13
Lakshmipur-Raipur,12
Sherpur-Nalitabari,12
Bhola-Borhanuddin,12
Sylhet-Jagannathpur,12
Pirojpur,11
Lakshmipur-Ramgonj,11
Sylhet-Beanibazar,11
Madaripur-Takerhat,11
Gaibandha-Gobindaganj,11
Netrokona-Durgapur,10
Bhola-Charfashion,10
Nilphamari-Domar,10
Barguna-Patharghata,10
Barishal-Muladi,10
Dinajpur-Birganj,9
Cumilla-Homna,9
Rajshahi-Mohonpur,9
